code,date,start,end,room,type,title,speakers,topics,level,url,abstract
BLD1665,2026-09-16,15:00,16:00,"Venetian, San Polo 3503, level 3",Technical Deep Dive,Inside Autodesk Certification: Strategies from the Exam Authors,"ARGELIA Barcena, Head of Regional Leads - North America, Women in BIM | Rina Sahay, BIM Lead, Wade Trim | Eric Wing, BIM Director, C&S Companies",Buildings | BIM Collaborate | Docs | Forma Data Management Essentials | Revit | AECO | Community & Expert Elites,Professional,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1774855997919001OfT1,"Unlock the secrets behind Autodesk Certification. These exams are designed to validate real-world workflow skills required across the architecture, engineering, and construction (AEC) industry. Yet many candidates struggle to understand what’s truly being evaluated or how to prepare. Join exam authors for a behind-the-scenes look at how exams are designed to reflect industry practice and skills being tested. Learn from contributors to Certified Professional Exams in BIM Management and Revit Architectural, Structural, and Electrical Design. They will present certification-style examples inspired by real exam objectives and explore interpretation strategies. You’ll leave with a clearer understanding of how certification aligns with project workflows and how to improve skills needed to succeed."
BLD2166,2026-09-16,15:00,16:00,Stage 01,Strategy Talk - Panel,"Digital Factory Summit | Digital Twins Unplugged: Platforms, Practices, and Lessons from the Field","Farzad Moghbel, VP of Technology Products, Michael Baker International | Marin Pastar, VP, Digital Practice Executive, Michael Baker International | Marc Banning, Senior Business Development Executive, Autodesk | Andrew Davis, Regional Technology Lead - Canada, Jacobs | Jacob Noltner, Section Leader, Mechanical Engineer, Jacobs",Buildings | FlexSim | ReCap | Revit | Tandem Connect | AECO | Digital Factory | D&M,Not Applicable,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775229002805001AW0h,"Digital twins are moving from concept to reality, but success looks different for every organization. This session will bring owners, operators, technologists, and consultants together to discuss moving from digital models to operational twins. Panelists will highlight different types of digital twins, from simulation-based twins like FlexSim to operational and asset-based twins like Autodesk Tandem, enabling connected asset data and certainty from design through operations. The discussion will compare platform ecosystems, use cases, and scaling strategies across the asset lifecycle. You can expect examples, lessons learned, and open dialogue on what works and what doesn’t, while connecting with peers shaping the future of digital twins."
BLD2494,2026-09-16,15:00,16:00,"Venetian, Casanova 503, level 1",Strategy Talk,Digital Twins in Practice: A Blueprint for Moving from Design to Operations,"Mohamed Abdelhameid, Digital Sales Director, Johnson Controls | Troy Gates, Senior Solutions Consultant, ARKANCE | Nick Miller, Pre-Sales Director, ARKANCE",Data Exchange and System Integrations | Buildings | Autodesk Platform Services | Forma Data Management Essentials | Revit | AECO | Capital Project Owners & Operators | Cross Industry,Professional,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775480463578001KBFp,"Digital twins promise to connect design and operations, but what does it take to make this real? In this session, Johnson Controls and ARKANCE will share how they helped a customer transition from disconnected intelligent models to a scalable digital twin through aligned roles, workflows, and cross‑industry collaboration. Learn how to prepare BIM data for operations by structuring Revit deliverables for Autodesk Tandem software and downstream workflows, including auditing, cleanup, and standardization. We’ll also cover integrating Internet of Things (IoT) sensors, mapping physical assets, and building a practical sensor strategy. Finally, we’ll explore long‑term success factors, including governance, ownership, maintenance, and stakeholder adoption to ensure your digital twin delivers lasting value."
BLD2652,2026-09-16,15:00,16:00,"Venetian, Casanova 501, level 1",Technical Deep Dive,"From Reality to Simulation: Capturing, Predicting, and Replaying the Experience of Design with APS and AI","Kean Walmsley, Dir., Systems Design/Architecture Engrg, Autodesk | Andrés Sebastián Diaz Vargas, Systems Engineer I  COP, Autodesk",Buildings | Autodesk Platform Services | AECO | Software Development | Cross Industry,Not Applicable,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775499843125001gyR2,"How do you capture or predict the human experience of design and replay it to build empathy and drive better design decisions? This session will present a technical workflow spanning three research projects: real-world experience capture (The Bentway, Toronto), XR-based capture in virtual environments, and agentic simulation of human behavior. Learn how Autodesk Platform Services powers a system where human-experience data—whether captured using sensors, or in VR, or predicted using AI—can be replayed by designers to better appreciate the diversity of the human experience of design. We’ll explore the technology that will power future human-experience-driven workflows, from sensors and VR headsets to knowledge graphs and vision language models."
BLD3677,2026-09-16,15:00,16:00,"Venetian, Galileo 902, level 1",Strategy Talk - Panel,No More “BIM Guy”: Driving Real Digital Transformation Across Construction,"Danielle Dy Buncio, CEO, VIATechnik | Ravi Wood, BIM Director, Samsung Semiconductors | Prateek Shailesh Chitnis, BIM Manager, Dennis Group | Morgan Drivas, VDC Manager, JTM Construction | Brett Settles, VDC Director, Alberici Constructors, Inc",Buildings | None | AECO | Preconstruction,Not Applicable,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775592261421001Uu4y,"""That's the BIM guy's job."" Whether you've heard it on a job site, in a coordination meeting, or in a boardroom, you know the gap this panel is here to close. An owner, a heavy industrial GC, a self-perform contractor, and a specialty MEP contractor join moderator Prateek Chitnis for an unfiltered conversation about what digital transformation actually costs across the construction ecosystem. No polished success stories. No vendor pitches. Just four practitioners from different seats at the table, each with a different definition of what ""BIM adoption"" means, and each with failures they haven't talked about publicly. Yet."
BLD4210,2026-09-16,15:00,16:00,"Venetian, Veronese 2503, level 2",Strategy Talk,BIM to EAMS: Building the Bridge Between Digital Delivery and Asset Lifecycle Management,"Matt Anderle, AVP, Director of Digital Strategy, AECOM | Chris France, Digital Operations Manager, AECOM",Buildings | Civil 3D | Forma | Revit | AECO | Community & Expert Elites,Professional,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775630907042001ArZC,"The most powerful moment in digital delivery isn't when the model is complete. It's when an owner traces a work order back to a verified asset record and makes a better decision because the data was there. This session will show how to make that moment possible. Drawing on large-scale aviation and transportation infrastructure experience, you’ll learn to structure BIM/CIIM deliverables that deliver value beyond handover. Asset data schemas, COBie deliverables, and Revit models connected through Autodesk Forma become the foundation for an operational ecosystem where owners and delivery teams share a single source of truth, driving smarter operations and measurable facility performance for the life of the asset."
BLD4460,2026-09-16,15:00,16:00,Stage 02,Technical Deep Dive,An Owner's Playbook for a Common Data Environment ,"Jon Dalton, Sr. BIM Manager, NV5",MEP Engineering  | Structural Engineering  | Data and Document Management | Data Exchange and System Integrations | Data Analytics and Visualization | Buildings | ACC Connect | Forma Build | Forma Construction Connect | Forma Data Management | Tandem | AECO,Not Applicable,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1781548232104001KwoF,"Most common data environments (CDEs) are set up for the delivery team. They solve coordination during design and construction, then get handed to the owner who lives in them for decades. The folder structures and workflows that suited the project rarely fit how a facilities team works. This session will be a practical guide for owners. We'll cover what to specify before a project starts, the contract language that protects your access to the data, where standard handovers break down, and how to organize information so it stays useful over the life of the asset. You'll leave with a checklist you can apply to your next project, whether you're standing up a CDE for the first time or trying to fix one you inherited."
CES1594,2026-09-16,15:00,16:00,"Venetian, San Polo 3406, level 3",Strategy Talk,Tangled Up in Blue: Untangling a ProjectWise Migration to Autodesk Forma,"Andy Bosch, Designer, Kimley Horn | Sean Hulbert, Sr Principal, Professional Services Consultant, Autodesk",Civil infrastructure | Civil 3D | Cloud Worksharing | Desktop Connector | Docs | AECO | Civil Engineering,Expert,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1774632790127001MIDx,"When the project teams saw files taking up to 45 minutes to open and AutoCAD crashes becoming routine, they knew their platform was failing them and driving project costs higher. Adding to the pressure, the project was advancing from 60% to 90% plan submittals, a stage when most avoid major platform changes. Migrating off ProjectWise meant transitioning roughly 14,000 files and enabling more than 300 users and 10 subconsultants—while keeping design moving forward. This session will show how the Blue Line Light Rail project, a 13-mile corridor, was transitioned to Autodesk Forma (formerly Autodesk Construction Cloud). Learn how a strong proof of concept, Civil 3D workflows, Autodesk-developed tools (including the bulk migration tool), and external Civil 3D tools helped identify and resolve issues during a midproduction migration."
CES1594-D,2026-09-16,15:00,16:00,Digital B,Strategy Talk,Tangled Up in Blue: Untangling a ProjectWise Migration to Autodesk Forma,"Andy Bosch, Designer, Kimley Horn | Sean Hulbert, Sr Principal, Professional Services Consultant, Autodesk",Civil infrastructure | AECO | Civil Engineering,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783610787312001bbjR,"When the project teams saw files taking up to 45 minutes to open and AutoCAD crashes becoming routine, they knew their platform was failing them and driving project costs higher. Adding to the pressure, the project was advancing from 60% to 90% plan submittals, a stage when most avoid major platform changes. Migrating off ProjectWise meant transitioning roughly 14,000 files and enabling more than 300 users and 10 subconsultants—while keeping design moving forward. This session will show how the Blue Line Light Rail project, a 13-mile corridor, was transitioned to Autodesk Forma (formerly Autodesk Construction Cloud). Learn how a strong proof of concept, Civil 3D workflows, Autodesk-developed tools (including the bulk migration tool), and external Civil 3D tools helped identify and resolve issues during a midproduction migration."
CES1612,2026-09-16,15:00,16:00,"Venetian, Bellini 2004, level 2",Technical Deep Dive,Integrating Nature-Based Solutions in Civil 3D and InfraWorks for Resilient Infrastructure Design,"Carlos Rogeliz, Technical Director – N4W Facility, The Nature Conservancy | Jonathan Nogales, Science Associate, The Nature Conservancy",Data Exchange and System Integrations | Civil infrastructure | Civil 3D | InfraWorks | AECO | Impact & Sustainability,Professional,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1774646376056001SP5M,"Nature-based solutions (NbS) are reshaping how civil teams deliver resilient water infrastructure. Yet integrating watershed-scale insights into detailed design remains a challenge. This session will show how The Nature Conservancy applied targeted training and InfraWorks and Civil 3D software to connect regional watershed analysis with site-level engineering workflows. Learn how to translate watershed data into design inputs, develop NbS concepts into constructible models, and maintain data continuity across planning and design phases. See how connected workflows improved cross-team collaboration, enabled earlier decision making, and reduced project risk in real-world water infrastructure projects."
